Date,Cash,Num Shares,Share total Value,Total Port Value
2018-03-07,100000.0,0,0.0,100000.0
2018-03-08,100000.0,0,0.0,100000.0
2018-03-09,100000.0,0,0.0,100000.0
2018-03-12,100000.0,0,0.0,100000.0
2018-03-13,100000.0,0,0.0,100000.0
2018-03-14,100000.0,0,0.0,100000.0
2018-03-15,100000.0,0,0.0,100000.0
2018-03-16,100000.0,0,0.0,100000.0
2018-03-19,100000.0,0,0.0,100000.0
2018-03-20,100000.0,0,0.0,100000.0
2018-03-21,100000.0,0,0.0,100000.0
2018-03-22,100000.0,0,0.0,100000.0
2018-03-23,100000.0,0,0.0,100000.0
2018-03-26,126700.0,-100,-26700.0,100000.0
2018-03-27,152932.00073242188,-200,-52464.00146484375,100467.99926757812
2018-03-28,179094.00024414062,-300,-78485.99853515625,100608.00170898438
2018-03-29,179094.00024414062,-300,-79610.99853515625,99483.00170898438
2018-04-02,153195.00024414062,-200,-51841.99829101561,101353.00195312501
2018-04-03,153195.00024414062,-200,-52515.99731445311,100679.00292968751
2018-04-04,126631.99975585938,-100,-26563.00048828125,100068.99926757812
2018-04-05,99883.99865722656,0,0.0,99883.99865722656
2018-04-06,99883.99865722656,0,0.0,99883.99865722656
2018-04-09,99883.99865722656,0,0.0,99883.99865722656
2018-04-10,99883.99865722656,0,0.0,99883.99865722656
2018-04-11,99883.99865722656,0,0.0,99883.99865722656
2018-04-12,99883.99865722656,0,0.0,99883.99865722656
2018-04-13,99883.99865722656,0,0.0,99883.99865722656
2018-04-16,99883.99865722656,0,0.0,99883.99865722656
2018-04-17,99883.99865722656,0,0.0,99883.99865722656
2018-04-18,99883.99865722656,0,0.0,99883.99865722656
2018-04-19,99883.99865722656,0,0.0,99883.99865722656
2018-04-20,99883.99865722656,0,0.0,99883.99865722656
2018-04-23,99883.99865722656,0,0.0,99883.99865722656
2018-04-24,99883.99865722656,0,0.0,99883.99865722656
2018-04-25,99883.99865722656,0,0.0,99883.99865722656
2018-04-26,99883.99865722656,0,0.0,99883.99865722656
2018-04-27,99883.99865722656,0,0.0,99883.99865722656
2018-04-30,99883.99865722656,0,0.0,99883.99865722656
2018-05-01,99883.99865722656,0,0.0,99883.99865722656
2018-05-02,99883.99865722656,0,0.0,99883.99865722656
2018-05-03,99883.99865722656,0,0.0,99883.99865722656
2018-05-04,99883.99865722656,0,0.0,99883.99865722656
2018-05-07,99883.99865722656,0,0.0,99883.99865722656
2018-05-08,99883.99865722656,0,0.0,99883.99865722656
2018-05-09,99883.99865722656,0,0.0,99883.99865722656
2018-05-10,99883.99865722656,0,0.0,99883.99865722656
2018-05-11,99883.99865722656,0,0.0,99883.99865722656
2018-05-14,99883.99865722656,0,0.0,99883.99865722656
2018-05-15,99883.99865722656,0,0.0,99883.99865722656
2018-05-16,99883.99865722656,0,0.0,99883.99865722656
2018-05-17,99883.99865722656,0,0.0,99883.99865722656
2018-05-18,99883.99865722656,0,0.0,99883.99865722656
2018-05-21,99883.99865722656,0,0.0,99883.99865722656
2018-05-22,99883.99865722656,0,0.0,99883.99865722656
2018-05-23,99883.99865722656,0,0.0,99883.99865722656
2018-05-24,99883.99865722656,0,0.0,99883.99865722656
2018-05-25,99883.99865722656,0,0.0,99883.99865722656
2018-05-29,99883.99865722656,0,0.0,99883.99865722656
2018-05-30,99883.99865722656,0,0.0,99883.99865722656
2018-05-31,99883.99865722656,0,0.0,99883.99865722656
2018-06-01,99883.99865722656,0,0.0,99883.99865722656
2018-06-04,99883.99865722656,0,0.0,99883.99865722656
2018-06-05,99883.99865722656,0,0.0,99883.99865722656
2018-06-06,99883.99865722656,0,0.0,99883.99865722656
2018-06-07,99883.99865722656,0,0.0,99883.99865722656
2018-06-08,99883.99865722656,0,0.0,99883.99865722656
2018-06-11,99883.99865722656,0,0.0,99883.99865722656
2018-06-12,99883.99865722656,0,0.0,99883.99865722656
2018-06-13,99883.99865722656,0,0.0,99883.99865722656
2018-06-14,99883.99865722656,0,0.0,99883.99865722656
2018-06-15,99883.99865722656,0,0.0,99883.99865722656
2018-06-18,99883.99865722656,0,0.0,99883.99865722656
2018-06-19,99883.99865722656,0,0.0,99883.99865722656
2018-06-20,99883.99865722656,0,0.0,99883.99865722656
2018-06-21,99883.99865722656,0,0.0,99883.99865722656
2018-06-22,99883.99865722656,0,0.0,99883.99865722656
2018-06-25,99883.99865722656,0,0.0,99883.99865722656
2018-06-26,99883.99865722656,0,0.0,99883.99865722656
2018-06-27,99883.99865722656,0,0.0,99883.99865722656
2018-06-28,99883.99865722656,0,0.0,99883.99865722656
2018-06-29,99883.99865722656,0,0.0,99883.99865722656
2018-07-02,99883.99865722656,0,0.0,99883.99865722656
2018-07-03,99883.99865722656,0,0.0,99883.99865722656
2018-07-05,99883.99865722656,0,0.0,99883.99865722656
2018-07-06,99883.99865722656,0,0.0,99883.99865722656
2018-07-09,99883.99865722656,0,0.0,99883.99865722656
2018-07-10,99883.99865722656,0,0.0,99883.99865722656
2018-07-11,99883.99865722656,0,0.0,99883.99865722656
2018-07-12,99883.99865722656,0,0.0,99883.99865722656
2018-07-13,99883.99865722656,0,0.0,99883.99865722656
2018-07-16,99883.99865722656,0,0.0,99883.99865722656
2018-07-17,99883.99865722656,0,0.0,99883.99865722656
2018-07-18,99883.99865722656,0,0.0,99883.99865722656
2018-07-19,99883.99865722656,0,0.0,99883.99865722656
2018-07-20,99883.99865722656,0,0.0,99883.99865722656
2018-07-23,99883.99865722656,0,0.0,99883.99865722656
2018-07-24,99883.99865722656,0,0.0,99883.99865722656
2018-07-25,99883.99865722656,0,0.0,99883.99865722656
2018-07-26,99883.99865722656,0,0.0,99883.99865722656
2018-07-27,99883.99865722656,0,0.0,99883.99865722656
2018-07-30,99883.99865722656,0,0.0,99883.99865722656
2018-07-31,99883.99865722656,0,0.0,99883.99865722656
2018-08-01,99883.99865722656,0,0.0,99883.99865722656
2018-08-02,99883.99865722656,0,0.0,99883.99865722656
2018-08-03,99883.99865722656,0,0.0,99883.99865722656
2018-08-06,99883.99865722656,0,0.0,99883.99865722656
2018-08-07,99883.99865722656,0,0.0,99883.99865722656
2018-08-08,99883.99865722656,0,0.0,99883.99865722656
2018-08-09,99883.99865722656,0,0.0,99883.99865722656
2018-08-10,99883.99865722656,0,0.0,99883.99865722656
2018-08-13,99883.99865722656,0,0.0,99883.99865722656
2018-08-14,99883.99865722656,0,0.0,99883.99865722656
2018-08-15,99883.99865722656,0,0.0,99883.99865722656
2018-08-16,99883.99865722656,0,0.0,99883.99865722656
2018-08-17,99883.99865722656,0,0.0,99883.99865722656
2018-08-20,99883.99865722656,0,0.0,99883.99865722656
2018-08-21,99883.99865722656,0,0.0,99883.99865722656
2018-08-22,99883.99865722656,0,0.0,99883.99865722656
2018-08-23,99883.99865722656,0,0.0,99883.99865722656
2018-08-24,99883.99865722656,0,0.0,99883.99865722656
2018-08-27,99883.99865722656,0,0.0,99883.99865722656
2018-08-28,99883.99865722656,0,0.0,99883.99865722656
