Date,entry_price,position,exit_price,p/l
2018-02-20,276.14410369873053,short,276.48001098632807,-33.590728759753574
2018-02-21,274.72,short,273.33999633789057,138.0003662109459
2018-02-22,269.64629516601565,long and short,275.09369506835935,544.7399902343705
2018-02-23,273.95280120849606,long and short,279.4872012329101,553.4400024414026
2018-02-26,277.16039154052726,long,274.20001220703125,-296.03793334960073
2018-02-27,273.71521087646477,long,274.95001220703125,123.48013305664836
2018-02-28,270.60659637451164,long,274.85000610351557,424.3409729003929
2018-03-01,267.0030120849609,long and short,272.3970123291016,539.400024414067
2018-03-02,273.9120123291016,short,280.82000732421875,-690.7994995117178
2018-03-05,276.94201232910154,short,280.58999633789057,-364.7984008789024
2018-03-06,277.69951232910154,short,278.76998901367193,-107.04766845703944
2018-03-07,277.5985061645507,short,277.33999633789057,25.850982666014488
2018-03-08,278.8913049316406,short,277.04998779296875,184.13171386718545
2018-03-09,278.0118072509766,long,277.29998779296875,-71.18194580078239
2018-03-12,277.78409637451165,long,273.57998657226557,-420.410980224608
2018-03-13,275.9822891235352,long,274.0599975585937,-192.22915649415313
2018-03-14,274.5665963745117,long,273.5599975585937,-100.65988159179824
2018-03-15,274.27948791503906,long,265.47000122070307,-880.9486694335988
2018-03-16,274.52698791503906,long,259.82998657226557,-1469.700134277349
2018-03-19,270.8441867065429,long and short,276.3157864379882,547.1599731445281
2018-03-20,271.31939758300774,long,262.32000732421875,-899.9390258788992
2018-03-21,270.82439758300774,long,261.6199951171875,-920.4402465820237
2018-03-22,262.815301208496,long and short,268.1247012329101,530.9400024414117
2018-03-23,257.2316867065429,long and short,262.4282864379882,519.6599731445303
2018-03-26,264.33,long,262.57998657226557,-175.0013427734416
2018-03-27,259.6968072509766,long and short,264.9432073974609,524.6400146484348
2018-03-28,259.0037951660156,long and short,264.2361950683594,523.2399902343786
2018-03-29,262.71629516601564,long and short,268.02369506835936,530.7399902343718
2018-04-02,261.80209136962884,short,262.70001220703125,-89.79208374024097
2018-04-03,259.9541867065429,long and short,265.20578643798825,525.1599731445367
2018-04-04,262.97370483398436,long and short,268.28630493164064,531.2600097656286
2018-04-05,264.8052108764648,long,267.79000854492193,298.47976684571336
2018-04-06,264.18570739746093,short,266.97000122070307,-278.42938232421375
2018-04-09,265.3270123291016,short,269.19000244140625,-386.2990112304658
2018-04-10,269.6397012329101,short,272.07000732421875,-243.0306091308637
2018-04-11,268.17518890380865,short,272.19000244140625,-401.4813537597604
2018-04-12,270.46790863037114,short,270.72000122070307,-25.209259033192666
2018-04-13,269.6397012329101,short,268.44000244140625,119.9698791503863
2018-04-16,271.8819024658203,short,268.44000244140625,344.19000244140534
2018-04-17,269.34930725097655,long,264.8900146484375,-445.9292602539051
2018-04-18,269.46810241699217,long,265.42001342773443,-404.8088989257735
2018-04-19,268.01280120849606,long,268.14999389648443,13.719268798837447
2018-04-20,265.7556024169922,long,268.3900146484375,263.441223144531
2018-04-23,265.7556024169922,long,266.3099975585937,55.43951416015034
2018-04-24,267.5389147949219,short,266.82998657226557,70.89282226563114
2018-04-25,268.0742135620118,short,264.97000122070307,310.42123413087097
2018-04-26,265.46849395751957,long,264.39999389648443,-106.8500061035138
2018-04-27,265.7061145019531,long,267.82000732421875,211.38928222656546
2018-04-30,263.6468975830077,long and short,268.97309753417966,532.619995117193
2018-05-01,264.1616867065429,long and short,269.4982864379882,533.659973144529
2018-05-02,262.32030120849606,long and short,267.6197012329101,529.9400024414012
2018-05-03,267.04399383544927,short,273.89999389648443,-685.6000061035161
2018-05-04,270.49820739746093,short,274.47000122070307,-397.17938232421375
2018-05-07,271.47790863037113,short,274.82000732421875,-334.20986938476176
2018-05-08,271.3667926025391,short,272.8099975585937,-144.32049560546147
2018-05-09,274.15440246582034,short,274.10000610351557,5.439636230477163
2018-05-14,272.0718072509766,long,275.20999145507807,313.8184204101492
2018-05-15,275.53809753417966,short,274.47000122070307,106.80963134765875
2018-05-18,275.9420913696288,short,273.98001098632807,196.20803833007585
2018-05-21,272.45789154052727,long,270.92999267578125,-152.7898864746021
2018-05-22,271.72530120849603,long,274.54998779296875,282.46865844727154
2018-05-23,272.4975,long,272.73001098632807,23.25109863280659
2018-05-24,272.0025,long,275.52999877929693,352.7498779296934
2018-05-25,271.2402108764648,long and short,276.71981109619134,547.9600219726535
2018-05-29,273.63929260253906,short,277.0599975585937,-342.0704956054635
2018-05-30,277.29548767089847,short,279.44000244140625,-214.4514770507783
2018-05-31,275.45731109619135,short,279.260009765625,-380.2698669433653
2018-06-01,278.2852987670899,short,280.04000854492193,-175.47097778320335
2018-06-04,279.5780975341796,short,280.510009765625,-93.19122314453807
2018-06-05,279.8305975341796,short,280.8900146484375,-105.9417114257883
2018-06-12,278.0811145019531,long,278.67001342773443,58.88989257813364
2018-06-13,277.1208132934571,long,279.25,212.9186706542896
2018-06-14,277.90289154052726,long,277.32000732421875,-58.28842163085142
2018-06-15,277.50689758300774,long,277.8900146484375,38.3117065429758
2018-06-18,276.90301208496095,long,274.10000610351557,-280.30059814453807
2018-06-19,275.8833132934571,long,273.47000122070307,-241.33120727540245
2018-06-20,276.4575,long,271.1199951171875,-533.7504882812482
2018-06-21,274.54680725097654,long,272.82000732421875,-172.6799926757792
2018-06-22,275.1111145019531,long,273.04998779296875,-206.1126708984375
2018-06-25,271.3590060424804,long,273.82000732421875,246.10012817383335
2018-06-26,270.735301208496,long,272.73001098632807,199.47097778320426
2018-06-27,273.83119506835936,short,275.07000732421875,-123.88122558593864
2018-06-28,275.54820739746094,short,277.20999145507807,-166.1784057617126
2018-06-29,275.7804876708984,short,279.8099975585937,-402.95098876952693
2018-07-02,276.55820739746093,short,280.82998657226557,-427.1779174804635
2018-07-03,275.45731109619135,short,278.739990234375,-328.2679138183653
2018-07-05,277.8207073974609,short,281.1400146484375,-331.93072509765784
