ID,Date Created,Action,Size,Symbol,Order Price,Type,Status,Fill Price,Fill/Cancelled Date
0,2018-03-26,SELL,100,IVV,267.0,MKT,FILLED,267.0,2018-03-26
1,2018-03-26,BUY,100,IVV,258.99,LMT,FILLED,258.99,2018-04-02
2,2018-03-27,SELL,100,IVV,262.32000732421875,MKT,FILLED,262.32000732421875,2018-03-27
3,2018-03-27,BUY,100,IVV,254.45040710449217,LMT,FILLED,265.6300048828125,2018-04-04
4,2018-03-28,SELL,100,IVV,261.6199951171875,MKT,FILLED,261.6199951171875,2018-03-28
5,2018-03-28,BUY,100,IVV,253.77139526367188,LMT,FILLED,267.48001098632807,2018-04-05
6,2018-10-26,SELL,100,IVV,267.10000610351557,MKT,FILLED,267.10000610351557,2018-10-26
7,2018-10-26,BUY,100,IVV,259.0870059204101,LMT,FILLED,273.8900146484375,2018-11-02
8,2018-10-29,SELL,100,IVV,265.6099853515625,MKT,FILLED,265.6099853515625,2018-10-29
9,2018-10-29,BUY,100,IVV,257.6416857910156,LMT,FILLED,275.57000732421875,2018-11-05
10,2018-10-30,SELL,100,IVV,269.8599853515625,MKT,FILLED,269.8599853515625,2018-10-30
11,2018-10-30,BUY,100,IVV,261.7641857910156,LMT,FILLED,277.16000366210943,2018-11-06
12,2018-10-31,SELL,100,IVV,272.760009765625,MKT,FILLED,272.760009765625,2018-10-31
13,2018-10-31,BUY,100,IVV,264.57720947265625,LMT,FILLED,283.1300048828125,2018-11-07
14,2018-12-10,SELL,100,IVV,266.0,MKT,FILLED,266.0,2018-12-10
15,2018-12-10,BUY,100,IVV,258.02,LMT,FILLED,258.02,2018-12-17
16,2018-12-12,SELL,100,IVV,267.489990234375,MKT,FILLED,267.489990234375,2018-12-12
17,2018-12-12,BUY,100,IVV,259.46529052734377,LMT,FILLED,259.46529052734377,2018-12-17
18,2018-12-13,SELL,100,IVV,267.239990234375,MKT,FILLED,267.239990234375,2018-12-13
19,2018-12-13,BUY,100,IVV,259.22279052734376,LMT,FILLED,259.22279052734376,2018-12-17
20,2018-12-14,SELL,100,IVV,262.39999389648443,MKT,FILLED,262.39999389648443,2018-12-14
21,2018-12-14,BUY,100,IVV,254.5279940795899,LMT,FILLED,254.5279940795899,2018-12-17
22,2018-12-17,SELL,100,IVV,255.6499938964844,MKT,FILLED,255.6499938964844,2018-12-17
23,2018-12-17,BUY,100,IVV,247.98049407958987,LMT,FILLED,247.98049407958987,2018-12-20
24,2018-12-18,SELL,100,IVV,255.6199951171875,MKT,FILLED,255.6199951171875,2018-12-18
25,2018-12-18,BUY,100,IVV,247.95139526367186,LMT,FILLED,247.95139526367186,2018-12-20
26,2018-12-19,SELL,100,IVV,251.7400054931641,MKT,FILLED,251.7400054931641,2018-12-19
27,2018-12-19,BUY,100,IVV,244.18780532836917,LMT,FILLED,244.18780532836917,2018-12-21
28,2018-12-20,SELL,100,IVV,247.42999267578125,MKT,FILLED,247.42999267578125,2018-12-20
29,2018-12-20,BUY,100,IVV,240.0070928955078,LMT,FILLED,240.0070928955078,2018-12-24
30,2018-12-21,SELL,100,IVV,242.3500061035156,MKT,FILLED,242.3500061035156,2018-12-21
31,2018-12-21,BUY,100,IVV,235.07950592041013,LMT,FILLED,251.6100006103516,2018-12-31
32,2018-12-24,SELL,100,IVV,236.08999633789062,MKT,FILLED,236.08999633789062,2018-12-24
33,2018-12-24,BUY,100,IVV,229.0072964477539,LMT,FILLED,251.72000122070312,2019-01-02
34,2018-12-26,SELL,100,IVV,247.6699981689453,MKT,FILLED,247.6699981689453,2018-12-26
35,2018-12-26,BUY,100,IVV,240.23989822387693,LMT,FILLED,245.42999267578125,2019-01-03
36,2018-12-27,SELL,100,IVV,250.05999755859372,MKT,FILLED,250.05999755859372,2018-12-27
37,2018-12-27,BUY,100,IVV,242.5581976318359,LMT,FILLED,254.05999755859372,2019-01-04
38,2018-12-28,SELL,100,IVV,249.3300018310547,MKT,FILLED,249.3300018310547,2018-12-28
39,2018-12-28,BUY,100,IVV,241.85010177612304,LMT,FILLED,255.7700042724609,2019-01-07
40,2018-12-31,SELL,100,IVV,251.6100006103516,MKT,FILLED,251.6100006103516,2018-12-31
41,2018-12-31,BUY,100,IVV,244.06170059204103,LMT,FILLED,258.29000854492193,2019-01-08
42,2019-08-16,SELL,100,IVV,290.5799865722656,MKT,FILLED,290.5799865722656,2019-08-16
43,2019-08-16,BUY,100,IVV,281.86258697509766,LMT,FILLED,286.4700012207031,2019-08-23
44,2019-08-19,SELL,100,IVV,294.07000732421875,MKT,FILLED,294.07000732421875,2019-08-19
45,2019-08-19,BUY,100,IVV,285.2479071044922,LMT,FILLED,285.2479071044922,2019-08-23
46,2019-08-20,SELL,100,IVV,291.7900085449219,MKT,FILLED,291.7900085449219,2019-08-20
47,2019-08-20,BUY,100,IVV,283.0363082885742,LMT,FILLED,288.54998779296875,2019-08-27
48,2019-08-21,SELL,100,IVV,294.17999267578125,MKT,FILLED,294.17999267578125,2019-08-21
49,2019-08-21,BUY,100,IVV,285.3545928955078,LMT,FILLED,285.3545928955078,2019-08-23
50,2020-03-02,SELL,100,IVV,310.3999938964844,MKT,FILLED,310.3999938964844,2020-03-02
51,2020-03-02,BUY,100,IVV,301.08799407958986,LMT,FILLED,301.08799407958986,2020-03-03
52,2020-03-03,SELL,100,IVV,301.5,MKT,FILLED,301.5,2020-03-03
53,2020-03-03,BUY,100,IVV,292.455,LMT,FILLED,292.455,2020-03-06
54,2020-03-04,SELL,100,IVV,314.75,MKT,FILLED,314.75,2020-03-04
55,2020-03-04,BUY,100,IVV,305.3075,LMT,FILLED,305.3075,2020-03-05
56,2020-03-05,SELL,100,IVV,303.760009765625,MKT,FILLED,303.760009765625,2020-03-05
57,2020-03-05,BUY,100,IVV,294.64720947265624,LMT,FILLED,294.64720947265624,2020-03-06
58,2020-03-06,SELL,100,IVV,298.70001220703125,MKT,FILLED,298.70001220703125,2020-03-06
59,2020-03-06,BUY,100,IVV,289.7390118408203,LMT,FILLED,289.7390118408203,2020-03-09
